Source,Target,Type,Label,Weight,Person_Index_Year,Assoc_Index_Year
陳師道,趙䶵之,Directed,學生為Y,1,1053,
陳特,周必大,Directed,學生為Y,1,,1126
陳摶,張無夢,Directed,學生為Y,1,926,1002
陳摶,穆修,Directed,學生為Y,1,926,979
陳摶,吳景鸞,Directed,弟子為Y,1,926,
陳摶,吳克誠,Directed,弟子為Y,1,926,
陳文蔚,徐元傑,Directed,弟子為Y,1,1154,1193
陳襄,江衍,Directed,門人為Y,1,1017,1031
陳襄,孫覺,Directed,門人為Y,1,1017,1028
陳襄,傅楫,Directed,門人為Y,1,1017,1042
陳襄,陳貽範,Directed,門人為Y,1,1017,1037
陳襄,管師復,Directed,門人為Y,1,1017,1038
陳襄,管師常,Directed,門人為Y,1,1017,1040
陳襄,吳道,Directed,學生為Y,1,1017,
陳襄,呂逢時,Directed,學生為Y,1,1017,
陳易,蔡和,Directed,學生為Y,1,1166,
陳淵,沈度,Directed,學生為Y,1,1082,
陳璪,胡仲勉,Directed,門人為Y,1,,
陳藻,劉翼,Directed,門人為Y,1,,
陳藻,林鶚翁,Directed,學生為Y,1,,1211
陳藻,劉翼,Directed,學生為Y,1,,
陳藻,黃自信,Directed,學生為Y,1,,1198
陳著,趙炎,Directed,學生為Y,1,1224,1235
陳震,何基,Directed,學生為Y,1,1163,1188
陳震,楊元定,Directed,學生為Y,1,1163,1186
陳埴,車安行,Directed,學生為Y,1,,1194
陳埴,車安行,Directed,學生為Y,1,1157,1194
陳埴,翁敏之,Directed,學生為Y,1,1157,
陳埴,翁巖壽,Directed,學生為Y,1,1157,1214
陳埴,蔣世珍,Directed,學生為Y,1,1157,1229
程珌,舒撝,Directed,學生為Y,1,1164,1191
程鼎,董琦,Directed,學生為Y,1,1107,1117
程端禮,樂良,Directed,學生為Y,1,1271,
程顥,楊時,Directed,學生為Y,1,1032,1053
程顥,周純明,Directed,學生為Y,1,1032,1042
程顥,邢恕,Directed,學生為Y,1,1032,1038
程顥,王蘋,Directed,學生為Y,1,1032,1082
程顥,謝良佐,Directed,學生為Y,1,1032,1039
程顥,沈躬行,Directed,學生為Y,1,1032,1064
程顥,蘇昞,Directed,學生為Y,1,1032,1043
程顥,林志寧,Directed,學生為Y,1,1032,
程顥,游酢,Directed,弟子為Y,1,1032,1053
程迥,高元之,Directed,學生為Y,1,1133,1142
程若庸,吳錫疇,Directed,學生為Y,1,1238,1215
程時登,程正則,Directed,學生為Y,1,1249,
程頤,范域,Directed,門人為Y,1,1033,
程頤,邵溥,Directed,門人為Y,1,1033,1085
程頤,趙霄,Directed,門人為Y,1,1033,1062
程頤,吳給,Directed,門人為Y,1,1033,1084
程頤,楊時,Directed,學生為Y,1,1033,1053
程頤,晏敦復,Directed,學生為Y,1,1033,1075
程頤,周行己,Directed,學生為Y,1,1033,1061
程頤,尹焞,Directed,學生為Y,1,1033,1071
程頤,邢恕,Directed,學生為Y,1,1033,1038
程頤,王蘋,Directed,學生為Y,1,1033,1082
程頤,許景衡,Directed,學生為Y,1,1033,1072
程頤,焦瑗,Directed,學生為Y,1,1033,
程頤,袁溉,Directed,學生為Y,1,1033,
程頤,呂義山,Directed,學生為Y,1,1033,1061
程頤,謝良佐,Directed,學生為Y,1,1033,1039
程頤,侯仲良,Directed,學生為Y,1,1033,1038
程頤,劉安節,Directed,學生為Y,1,1033,1068
程頤,戴述,Directed,學生為Y,1,1033,1074
程頤,李參,Directed,學生為Y,1,1033,1050
程頤,沈躬行,Directed,學生為Y,1,1033,1064
程頤,楊迪,Directed,學生為Y,1,1033,1055
程頤,蘇昞,Directed,學生為Y,1,1033,1043
程頤,張繹,Directed,學生為Y,1,1033,
程頤,馬伸,Directed,學生為Y,1,1033,1066
程頤,周恭先,Directed,學生為Y,1,1033,
程頤,周孚先,Directed,學生為Y,1,1033,
程頤,唐棣,Directed,學生為Y,1,1033,1085
程頤,張閎中,Directed,學生為Y,1,1033,
程頤,陳經正,Directed,學生為Y,1,1033,1081
程頤,陳經邦,Directed,學生為Y,1,1033,1083
程頤,趙彥道,Directed,學生為Y,1,1033,1052
程頤,暢大隱,Directed,學生為Y,1,1033,
程頤,練繪,Directed,學生為Y,1,1033,
程頤,鮑若雨,Directed,學生為Y,1,1033,
程頤,謝湜,Directed,學生為Y,1,1033,1055
程頤,游酢,Directed,弟子為Y,1,1033,1053
程頤,李處廉,Directed,弟子為Y,1,1033,1078
程頤,李籲,Directed,弟子為Y,1,1033,1050
程正則,程時登,Directed,學生為Y,1,,1249
程舟,董琦,Directed,學生為Y,1,1121,1117
崔白,吳元瑜,Directed,學生為Y,1,,
崔與之,曾士倬,Directed,學生為Y,1,1163,1220
崔與之,黃鏞,Directed,學生為Y,1,1163,
戴表元,陳繹曾,Directed,學生為Y,1,1244,1287
戴良,唐轂,Directed,學生為Y,1,1317,
戴良,唐轅,Directed,學生為Y,1,1317,
戴良,夏璿,Directed,學生為Y,1,1317,
戴仲弼,劉庭老,Directed,學生為Y,1,,1153
鄧牧,李坦之,Directed,學生為Y,1,1247,
丁復,夏煜,Directed,學生為Y,1,,
董夢程,胡方平,Directed,學生為Y,1,1175,1217
董夢程,沈貴寶,Directed,弟子為Y,1,1175,
董銖,董琮,Directed,學生為Y,1,1152,1166
董銖,程正則,Directed,學生為Y,1,1152,
董銖,程時登,Directed,學生為Y,1,1152,1249
竇從周,衛炳,Directed,學生為Y,1,,
竇默,王開,Directed,弟子為Y,1,1196,
竇儼,趙孚,Directed,門人為Y,1,919,
杜本,陶宗儀,Directed,學生為Y,1,1276,1329
杜範,車若水,Directed,門人為Y,1,1182,
杜希仲,魏了翁,Directed,學生為Y,1,,1178
杜知仁,項采,Directed,學生為Y,1,1145,
杜子野,王安石,Directed,學生為Y,1,,1021
杜子野,王安石,Directed,弟子為Y,1,,1021
段成己,段思溫,Directed,學生為Y,1,1199,1240
范百祿,張宇,Directed,學生為Y,1,1030,
范彬,劉樸,Directed,學生為Y,1,,
范成大,張潞,Directed,學生為Y,1,1126,
范純粹,梁寬,Directed,學生為Y,1,1046,1043
范純仁,張紆,Directed,學生為Y,1,1027,
范諤昌,劉牧,Directed,學生為Y,1,,1011
范浚,范端臣,Directed,學生為Y,1,1102,1124
范浚,范端杲,Directed,學生為Y,1,1102,1126
范浚,邵恂,Directed,學生為Y,1,1102,
范浚,柴喆,Directed,學生為Y,1,1102,
范浚,張龜年,Directed,學生為Y,1,1102,1124
范浚,陳九言,Directed,學生為Y,1,1102,
范浚,虞唐佐,Directed,學生為Y,1,1102,
范浚,高栴,Directed,弟子為Y,1,1102,1108
范寬,高洵,Directed,學生為Y,1,,
范梈,危素,Directed,學生為Y,1,1272,1303
范雩,范成大,Directed,學生為Y,1,1094,1126
范正平,劉嶠,Directed,學生為Y,1,1057,1077
范仲彪,朱熹,Directed,學生為Y,1,1097,1130
范仲黼,鄧諫從,Directed,學生為Y,1,1148,
范仲黼,蘇在鎔,Directed,學生為Y,1,1148,1153
范仲淹,王凝,Directed,門人為Y,1,989,1046
范仲淹,劉牧,Directed,學生為Y,1,989,1011
范子堅,姚勉,Directed,弟子為Y,1,,1216
范祖幹,汪與立,Directed,學生為Y,1,1322,
方逢辰,魏新之,Directed,學生為Y,1,1221,1242
方鳳,柳貫,Directed,學生為Y,1,1240,1270
方鳳,吳萊,Directed,學生為Y,1,1240,1297
方鳳,黃景昌,Directed,學生為Y,1,1240,1261
方阜鳴,劉克莊,Directed,學生為Y,1,1157,1187
方暹,萬鎮,Directed,學生為Y,1,,1220
方岳,吳龍翰,Directed,門人為Y,1,1199,1233
方澤孺,林訔,Directed,門人為Y,1,,1179
方澤需,劉克莊,Directed,學生為Y,1,,1187
馮誠之,李石,Directed,學生為Y,1,1143,1108
馮去非,陳瀧,Directed,學生為Y,1,1192,
符蒙,孟賓于,Directed,學生為Y,1,881,
輔廣,董槐,Directed,學生為Y,1,,1199
輔廣,余端臣,Directed,學生為Y,1,,1164
輔廣,朱鵬飛,Directed,學生為Y,1,,1223
傅維清,吳士亨,Directed,學生為Y,1,,
傅寅,傅芷,Directed,弟子為Y,1,1148,1148
傅子雲,葉夢得,Directed,學生為Y,1,,
甘楚材,詹同,Directed,學生為Y,1,,1331
高弁,劉顏,Directed,門人為Y,1,966,993
高弁,石延年,Directed,門人為Y,1,966,994
高弁,劉潛,Directed,門人為Y,1,966,
高道充,魏了翁,Directed,學生為Y,1,1162,1178
高道充,魏了翁,Directed,學生為Y,1,1162,1178
高登,林宗臣,Directed,學生為Y,1,1085,
高登,陳景肅,Directed,學生為Y,1,1085,1121
高閌,高材,Directed,學生為Y,1,1097,
高克明,高洵,Directed,學生為Y,1,,
高商老,邵機,Directed,學生為Y,1,,
高守道,楊萬里,Directed,學生為Y,1,,1127
高遜志,楊榮,Directed,學生為Y,1,1339,1370
高遜志,陳繼之,Directed,學生為Y,1,1339,1339
高遜志,顧佐,Directed,學生為Y,1,1339,
高遜志,黃鉞,Directed,學生為Y,1,1339,1341
高元之,屠槐,Directed,弟子為Y,1,1142,1196
葛潀,周必大,Directed,學生為Y,1,1126,1126
葛潀,楊萬里,Directed,學生為Y,1,1126,1127
葛洪,胡楚材,Directed,學生為Y,1,1174,
葛長庚,金農,Directed,學生為Y,1,1134,1687
龔鼎臣,劉摯,Directed,學生為Y,1,1010,1027
貢師泰,高遜志,Directed,學生為Y,1,1298,1339
關注,曾崇,Directed,學生為Y,1,1105,1115
毌昭裔,孫逢吉,Directed,門人為Y,1,891,1135
毌昭裔,句中正,Directed,門人為Y,1,891,929
郭雍,曾穜,Directed,學生為Y,1,1091,1120
郭載,譙定,Directed,學生為Y,1,,
郭忠孝,謝諤,Directed,門人為Y,1,1063,1121
國子綱,樓鑰,Directed,學生為Y,1,,1137
國子綱,蔣仲武,Directed,學生為Y,1,,
韓古遺,張以寧,Directed,學生為Y,1,,1301
韓禾,陳萬里,Directed,學生為Y,1,1205,1238
韓駒,范季隨,Directed,學生為Y,1,1072,
韓琦,許幾,Directed,門人為Y,1,1008,1054
韓琦,曾宏,Directed,門人為Y,1,1008,
韓性,王冕,Directed,學生為Y,1,1266,1296
韓用師,史夢龍,Directed,弟子為Y,1,,
何基,金履祥,Directed,門人為Y,1,1188,1232
何基,汪開之,Directed,門人為Y,1,1188,1197
何基,王仁,Directed,門人為Y,1,1188,
何基,余澤,Directed,門人為Y,1,1188,
何基,王侃,Directed,學生為Y,1,1188,1186
何基,季鏞,Directed,學生為Y,1,1188,1175
何基,何子舉,Directed,學生為Y,1,1188,1203
何基,倪公武,Directed,學生為Y,1,1188,
何基,倪公晦,Directed,學生為Y,1,1188,
何基,張潤之,Directed,學生為Y,1,1188,
何基,張必大,Directed,學生為Y,1,1188,
何基,金麟,Directed,學生為Y,1,1188,
何基,童偕,Directed,學生為Y,1,1188,
何基,童俱,Directed,學生為Y,1,1188,
何基,汪蒙,Directed,弟子為Y,1,1188,
何堅,金履祥,Directed,弟子為Y,1,1186,1232
何普,魏了翁,Directed,學生為Y,1,1142,1178
何群,馮正符,Directed,學生為Y,1,,1052
何源,莫如德,Directed,門人為Y,1,1193,1214
何執,朱雪,Directed,學生為Y,1,,
何子舉,胡震,Directed,門人為Y,1,1203,
洪天錫,丘葵,Directed,學生為Y,1,1209,1244
洪焱祖,唐桂芳,Directed,學生為Y,1,1267,1299
侯克中,郭郁,Directed,學生為Y,1,,1257
侯仲良,胡宏,Directed,學生為Y,1,1038,1106
