Id,Label,Index_Year
劉康夫,劉康夫,1034
陳櫟,陳櫟,1252
蘇繹,蘇繹,1006
謝良佐,謝良佐,1039
劉韐,劉韐,1067
劉子羽,劉子羽,1097
劉勉之,劉勉之,1059
胡憲,胡憲,1086
游酢,游酢,1053
朱松,朱松,1097
韓駒,韓駒,1072
楊維禎,楊維禎,1296
謝逸,謝逸,1050
張耒,張耒,1054
胡晉侯,胡晉侯,1061
郭雍,郭雍,1091
蕭楚,蕭楚,1064
劉清之,劉清之,1134
謝諤,謝諤,1121
劉安世,劉安世,1100
詹阜民,詹阜民,1162
石牧之,石牧之,1015
鄭獬,鄭獬,1022
關注,關注,1105
高道充,高道充,1162
陸祐,陸祐,1094
吳子良,吳子良,1197
李廌,李廌,1059
种放,种放,952
王大寶,王大寶,1094
趙以夫,趙以夫,1189
劉垕,劉垕,1174
童居易,童居易,1187
林大中,林大中,1131
趙葵,趙葵,1186
周孚,周孚,1135
程若庸,程若庸,1238
曹涇,曹涇,1234
曾丰,曾丰,1142
戚舜賓,戚舜賓,979
林椿,林椿,
羅上達,羅上達,1126
江萬里,江萬里,1198
錢堯卿,錢堯卿,1081
錢文子,錢文子,1134
釋慧印,釋慧印,1053
胡宗伋,胡宗伋,1071
孫介,孫介,1114
王炎,王炎,1138
范仲彪,范仲彪,1097
范浚,范浚,1102
李昴英,李昴英,1201
侯仲良,侯仲良,1038
劉廷直,劉廷直,1115
趙孟頫,趙孟頫,1254
韓性,韓性,1266
王汾,王汾,1023
呂和問,呂和問,1096
江側,江側,1043
項安世,項安世,1145
徐誼,徐誼,1145
華直溫,華直溫,1006
任伯雨,任伯雨,1047
馮誠之,馮誠之,1143
張中行,張中行,
李隲,李隲,1038
黃珪,黃珪,1076
姜潛,姜潛,
李清照,李清照,1084
呂南公,呂南公,
李公麟,李公麟,1049
李龜朋,李龜朋,1109
梁佐,梁佐,1036
方鳳,方鳳,1240
林簡,林簡,1123
李燔,李燔,1168
陸九敘,陸九敘,1123
危稹,危稹,1157
危和,危和,1166
陸九韶,陸九韶,1130
陸持之,陸持之,1171
馬之純,馬之純,1133
歐陽守道,歐陽守道,1209
邵伯溫,邵伯溫,1057
林石,林石,1004
劉師正,劉師正,
施元之,施元之,1124
杜知仁,杜知仁,1145
魏野,魏野,960
蘇庠,蘇庠,
譚昉,譚昉,
竇從周,竇從周,
程鼎,程鼎,1107
董銖,董銖,1152
董夢程,董夢程,1175
胡一桂,胡一桂,1247
沈貴寶,沈貴寶,
程舟,程舟,1121
王鑐,王鑐,1235
陸景端,陸景端,1105
楊方,楊方,1133
楊輔,楊輔,1136
楊由義,楊由義,
梁楷,梁楷,
喻樗,喻樗,1117
彭耜,彭耜,
李成,李成,902
葛長庚,葛長庚,1134
譙定,譙定,
李浩,李浩,1116
劉漢弻,劉漢弻,1187
余嶸,余嶸,1162
李畋,李畋,962
廖德明,廖德明,1139
羅從彥,羅從彥,1072
崔與之,崔與之,1163
何群,何群,
曹確,曹確,1029
方阜鳴,方阜鳴,1157
趙蕃,趙蕃,1143
柴中守,柴中守,1162
柴中行,柴中行,1160
歐陽鎮,歐陽鎮,
扈蒙,扈蒙,911
劉巨,劉巨,
黃彥,黃彥,1042
唐震,唐震,1212
葛潀,葛潀,1126
士建中,士建中,981
葉廷珪,葉廷珪,1085
劉辰翁,劉辰翁,1232
穆修,穆修,979
高登,高登,1085
舒嶽祥,舒嶽祥,1236
戴良,戴良,1317
劉詵,劉詵,1268
吳師道,吳師道,1283
杜本,杜本,1276
危素,危素,1303
李直方,李直方,
吳直方,吳直方,1275
吳萊,吳萊,1297
鄭深,鄭深,1314
戴表元,戴表元,1244
張翥,張翥,1287
梁寅,梁寅,1303
范梈,范梈,1272
張雨,張雨,1283
李孝光,李孝光,1296
胡助,胡助,1278
余闕,余闕,1303
貢師泰,貢師泰,1298
程端禮,程端禮,1271
